"Stem", "Frequency", "Rank", "Probability"
"figaro", 1255, 1, 0.0163774
"résultat", 1107, 2, 0.014446
"2024", 1101, 3, 0.0143677
"législ", 845, 4, 0.011027
"a", 567, 5, 0.00739919
"franc", 430, 6, 0.00561138
"guid", 425, 7, 0.00554613
"publiqu", 397, 8, 0.00518074
"plus", 376, 9, 0.00490669
"tv", 370, 10, 0.0048284
"voyag", 312, 11, 0.00407151
"pass", 305, 12, 0.00398016
"recet", 269, 13, 0.00351037
"programm", 263, 14, 0.00343208
"vin", 253, 15, 0.00330158
"paris", 250, 16, 0.00326243
"tout", 236, 17, 0.00307973
"marseil", 229, 18, 0.00298839
"meilleur", 224, 19, 0.00292314
"1", 221, 20, 0.00288399
"achat", 220, 21, 0.00287094
"bordeau", 217, 22, 0.00283179
"an", 214, 23, 0.00279264
"emploi", 203, 24, 0.00264909
"class", 201, 25, 0.00262299
"voix", 194, 26, 0.00253165
"actual", 183, 27, 0.0023881
"cet", 182, 28, 0.00237505
"mois", 170, 29, 0.00221845
"premi", 170, 30, 0.00221845
"jour", 165, 31, 0.0021532
"apres", 158, 32, 0.00206186
"san", 158, 33, 0.00206186
"servic", 157, 34, 0.00204881
"quel", 154, 35, 0.00200966
"part", 154, 36, 0.00200966
"jeux", 151, 37, 0.00197051
"chois", 147, 38, 0.00191831
"grand", 145, 39, 0.00189221
"élect", 145, 40, 0.00189221
"maison", 145, 41, 0.00189221
"2025", 143, 42, 0.00186611
"sant", 142, 43, 0.00185306
"iphon", 142, 44, 0.00185306
"tous", 139, 45, 0.00181391
"conseil", 138, 46, 0.00180086
"lien", 136, 47, 0.00177476
"lyon", 135, 48, 0.00176171
"appart", 135, 49, 0.00176171
"fait", 129, 50, 0.00168341
