"Stem", "Frequency", "Rank", "Probability"
364, 228, 1049.33
365, 229, 1050.77
366, 230, 1052.21
367, 231, 1053.65
368, 232, 1055.08
369, 233, 1056.52
371, 234, 1059.37
372, 235, 1060.8
373, 236, 1062.23
374, 237, 1063.65
375, 238, 1065.07
376, 239, 1066.49
377, 240, 1067.91
378, 241, 1069.32
379, 242, 1070.74
380, 243, 1072.15
381, 244, 1073.56
382, 245, 1074.97
383, 246, 1076.37
384, 247, 1077.78
385, 248, 1079.18
386, 249, 1080.58
387, 250, 1081.98
388, 251, 1083.37
389, 252, 1084.77
390, 253, 1086.16
392, 254, 1088.94
393, 255, 1090.33
394, 256, 1091.72
396, 257, 1094.49
397, 258, 1095.87
398, 259, 1097.25
399, 260, 1098.62
401, 261, 1101.37
402, 262, 1102.75
403, 263, 1104.12
405, 264, 1106.85
407, 265, 1109.58
408, 266, 1110.95
409, 267, 1112.31
410, 268, 1113.67
412, 269, 1116.38
413, 270, 1117.73
414, 271, 1119.08
415, 272, 1120.44
416, 273, 1121.78
417, 274, 1123.13
419, 275, 1125.82
422, 276, 1129.85
423, 277, 1131.18
426, 278, 1135.19
427, 279, 1136.52
428, 280, 1137.85
429, 281, 1139.18
430, 282, 1140.5
435, 283, 1147.12
436, 284, 1148.43
437, 285, 1149.75
441, 286, 1155
442, 287, 1156.31
444, 288, 1158.92
445, 289, 1160.23
446, 290, 1161.53
447, 291, 1162.83
448, 292, 1164.13
449, 293, 1165.43
450, 294, 1166.73
453, 295, 1170.61
455, 296, 1173.19
456, 297, 1174.48
457, 298, 1175.77
458, 299, 1177.05
461, 300, 1180.9
462, 301, 1182.18
463, 302, 1183.46
464, 303, 1184.74
465, 304, 1186.01
468, 305, 1189.83
469, 306, 1191.1
471, 307, 1193.64
474, 308, 1197.43
475, 309, 1198.7
476, 310, 1199.96
477, 311, 1201.22
479, 312, 1203.73
480, 313, 1204.99
483, 314, 1208.75
485, 315, 1211.25
489, 316, 1216.23
490, 317, 1217.48
491, 318, 1218.72
492, 319, 1219.96
493, 320, 1221.2
494, 321, 1222.44
495, 322, 1223.67
496, 323, 1224.91
498, 324, 1227.38
499, 325, 1228.61
500, 326, 1229.84
501, 327, 1231.07
502, 328, 1232.29
503, 329, 1233.52
506, 330, 1237.19
507, 331, 1238.42
510, 332, 1242.07
511, 333, 1243.29
512, 334, 1244.51
513, 335, 1245.72
514, 336, 1246.94
515, 337, 1248.15
516, 338, 1249.36
517, 339, 1250.57
518, 340, 1251.78
519, 341, 1252.99
520, 342, 1254.19
521, 343, 1255.4
522, 344, 1256.6
525, 345, 1260.21
529, 346, 1265
537, 347, 1274.53
538, 348, 1275.72
542, 349, 1280.45
544, 350, 1282.81
545, 351, 1283.99
547, 352, 1286.34
548, 353, 1287.52
549, 354, 1288.69
550, 355, 1289.86
551, 356, 1291.04
552, 357, 1292.21
553, 358, 1293.38
555, 359, 1295.71
556, 360, 1296.88
557, 361, 1298.05
558, 362, 1299.21
560, 363, 1301.54
563, 364, 1305.02
564, 365, 1306.18
565, 366, 1307.34
567, 367, 1309.65
568, 368, 1310.8
569, 369, 1311.95
571, 370, 1314.26
572, 371, 1315.41
574, 372, 1317.71
575, 373, 1318.85
579, 374, 1323.43
580, 375, 1324.58
583, 376, 1328
584, 377, 1329.14
587, 378, 1332.54
588, 379, 1333.68
591, 380, 1337.08
593, 381, 1339.34
594, 382, 1340.47
595, 383, 1341.59
596, 384, 1342.72
597, 385, 1343.85
598, 386, 1344.97
599, 387, 1346.1
600, 388, 1347.22
601, 389, 1348.34
602, 390, 1349.46
603, 391, 1350.58
604, 392, 1351.7
605, 393, 1352.82
606, 394, 1353.94
607, 395, 1355.06
608, 396, 1356.17
609, 397, 1357.29
610, 398, 1358.4
611, 399, 1359.51
612, 400, 1360.62
613, 401, 1361.74
615, 402, 1363.96
616, 403, 1365.06
617, 404, 1366.17
618, 405, 1367.28
619, 406, 1368.38
621, 407, 1370.59
622, 408, 1371.7
623, 409, 1372.8
624, 410, 1373.9
625, 411, 1375
626, 412, 1376.1
627, 413, 1377.2
628, 414, 1378.3
629, 415, 1379.39
630, 416, 1380.49
631, 417, 1381.58
632, 418, 1382.68
633, 419, 1383.77
635, 420, 1385.96
636, 421, 1387.05
637, 422, 1388.14
638, 423, 1389.23
639, 424, 1390.31
640, 425, 1391.4
641, 426, 1392.49
642, 427, 1393.57
643, 428, 1394.66
646, 429, 1397.91
648, 430, 1400.07
650, 431, 1402.23
651, 432, 1403.31
652, 433, 1404.39
653, 434, 1405.46
654, 435, 1406.54
655, 436, 1407.61
656, 437, 1408.69
657, 438, 1409.76
659, 439, 1411.9
661, 440, 1414.05
662, 441, 1415.11
663, 442, 1416.18
664, 443, 1417.25
665, 444, 1418.32
666, 445, 1419.38
667, 446, 1420.45
668, 447, 1421.51
669, 448, 1422.58
670, 449, 1423.64
671, 450, 1424.7
672, 451, 1425.76
673, 452, 1426.82
674, 453, 1427.88
679, 454, 1433.17
681, 455, 1435.28
683, 456, 1437.38
685, 457, 1439.49
687, 458, 1441.59
690, 459, 1444.73
691, 460, 1445.78
693, 461, 1447.87
694, 462, 1448.91
695, 463, 1449.96
696, 464, 1451
698, 465, 1453.08
700, 466, 1455.16
703, 467, 1458.28
704, 468, 1459.31
705, 469, 1460.35
706, 470, 1461.39
707, 471, 1462.42
708, 472, 1463.45
709, 473, 1464.49
710, 474, 1465.52
711, 475, 1466.55
712, 476, 1467.58
714, 477, 1469.64
715, 478, 1470.67
716, 479, 1471.7
717, 480, 1472.73
718, 481, 1473.75
719, 482, 1474.78
720, 483, 1475.8
721, 484, 1476.83
725, 485, 1480.92
730, 486, 1486.02
732, 487, 1488.05
733, 488, 1489.07
734, 489, 1490.08
735, 490, 1491.1
736, 491, 1492.11
737, 492, 1493.13
738, 493, 1494.14
741, 494, 1497.17
742, 495, 1498.18
743, 496, 1499.19
744, 497, 1500.2
745, 498, 1501.21
747, 499, 1503.22
748, 500, 1504.23
749, 501, 1505.23
750, 502, 1506.24
751, 503, 1507.24
753, 504, 1509.25
760, 505, 1516.25
761, 506, 1517.24
762, 507, 1518.24
763, 508, 1519.24
764, 509, 1520.23
765, 510, 1521.22
769, 511, 1525.2
770, 512, 1526.19
771, 513, 1527.18
772, 514, 1528.17
773, 515, 1529.16
774, 516, 1530.15
775, 517, 1531.14
776, 518, 1532.12
777, 519, 1533.11
779, 520, 1535.08
780, 521, 1536.07
781, 522, 1537.05
782, 523, 1538.03
783, 524, 1539.02
784, 525, 1540
785, 526, 1540.98
787, 527, 1542.94
788, 528, 1543.92
791, 529, 1546.86
792, 530, 1547.84
793, 531, 1548.81
795, 532, 1550.77
798, 533, 1553.69
800, 534, 1555.63
805, 535, 1560.49
806, 536, 1561.46
808, 537, 1563.39
809, 538, 1564.36
810, 539, 1565.33
813, 540, 1568.22
815, 541, 1570.15
816, 542, 1571.11
817, 543, 1572.08
818, 544, 1573.04
819, 545, 1574
822, 546, 1576.88
823, 547, 1577.84
824, 548, 1578.8
825, 549, 1579.75
826, 550, 1580.71
827, 551, 1581.67
828, 552, 1582.62
830, 553, 1584.53
833, 554, 1587.4
834, 555, 1588.35
835, 556, 1589.3
836, 557, 1590.25
837, 558, 1591.2
838, 559, 1592.15
839, 560, 1593.1
841, 561, 1595
842, 562, 1595.95
843, 563, 1596.9
844, 564, 1597.84
846, 565, 1599.73
847, 566, 1600.68
849, 567, 1602.57
850, 568, 1603.51
851, 569, 1604.45
852, 570, 1605.4
853, 571, 1606.34
854, 572, 1607.28
855, 573, 1608.22
856, 574, 1609.16
859, 575, 1611.98
860, 576, 1612.92
861, 577, 1613.85
866, 578, 1618.53
867, 579, 1619.47
869, 580, 1621.33
870, 581, 1622.27
871, 582, 1623.2
872, 583, 1624.13
873, 584, 1625.06
876, 585, 1627.85
879, 586, 1630.64
880, 587, 1631.56
882, 588, 1633.42
883, 589, 1634.34
884, 590, 1635.27
886, 591, 1637.12
887, 592, 1638.04
888, 593, 1638.96
889, 594, 1639.89
890, 595, 1640.81
891, 596, 1641.73
892, 597, 1642.65
893, 598, 1643.57
894, 599, 1644.49
895, 600, 1645.41
896, 601, 1646.33
898, 602, 1648.17
899, 603, 1649.08
900, 604, 1650
901, 605, 1650.92
902, 606, 1651.83
903, 607, 1652.75
904, 608, 1653.66
905, 609, 1654.58
906, 610, 1655.49
907, 611, 1656.4
908, 612, 1657.32
910, 613, 1659.14
911, 614, 1660.05
912, 615, 1660.96
913, 616, 1661.87
914, 617, 1662.78
915, 618, 1663.69
916, 619, 1664.6
917, 620, 1665.51
919, 621, 1667.33
920, 622, 1668.23
921, 623, 1669.14
924, 624, 1671.86
927, 625, 1674.57
928, 626, 1675.47
930, 627, 1677.27
931, 628, 1678.18
932, 629, 1679.08
933, 630, 1679.98
940, 631, 1686.27
941, 632, 1687.16
942, 633, 1688.06
944, 634, 1689.85
945, 635, 1690.75
947, 636, 1692.54
948, 637, 1693.43
949, 638, 1694.32
950, 639, 1695.21
951, 640, 1696.11
952, 641, 1697
953, 642, 1697.89
954, 643, 1698.78
955, 644, 1699.67
956, 645, 1700.56
960, 646, 1704.11
961, 647, 1705
962, 648, 1705.89
963, 649, 1706.77
964, 650, 1707.66
965, 651, 1708.54
966, 652, 1709.43
968, 653, 1711.2
969, 654, 1712.08
970, 655, 1712.97
971, 656, 1713.85
974, 657, 1716.49
976, 658, 1718.25
977, 659, 1719.13
979, 660, 1720.89
