"Stem", "Frequency", "Rank", "Probability"
"Germany", 328, 1, 0.0117926
"Deutschland", 313, 2, 0.0112533
319, 231, 982.331
320, 232, 983.87
322, 233, 986.94
323, 234, 988.471
325, 235, 991.527
326, 236, 993.051
327, 237, 994.573
328, 238, 996.092
329, 239, 997.61
330, 240, 999.125
331, 241, 1000.64
334, 242, 1005.16
335, 243, 1006.67
336, 244, 1008.17
338, 245, 1011.16
339, 246, 1012.66
342, 247, 1017.13
343, 248, 1018.61
344, 249, 1020.1
346, 250, 1023.06
348, 251, 1026.01
352, 252, 1031.89
353, 253, 1033.36
354, 254, 1034.82
357, 255, 1039.19
359, 256, 1042.1
360, 257, 1043.55
361, 258, 1045
362, 259, 1046.45
363, 260, 1047.89
364, 261, 1049.33
365, 262, 1050.77
366, 263, 1052.21
367, 264, 1053.65
368, 265, 1055.08
369, 266, 1056.52
370, 267, 1057.95
372, 268, 1060.8
374, 269, 1063.65
375, 270, 1065.07
376, 271, 1066.49
377, 272, 1067.91
379, 273, 1070.74
380, 274, 1072.15
384, 275, 1077.78
385, 276, 1079.18
386, 277, 1080.58
387, 278, 1081.98
388, 279, 1083.37
389, 280, 1084.77
390, 281, 1086.16
391, 282, 1087.55
392, 283, 1088.94
393, 284, 1090.33
394, 285, 1091.72
395, 286, 1093.1
398, 287, 1097.25
399, 288, 1098.62
400, 289, 1100
401, 290, 1101.37
402, 291, 1102.75
403, 292, 1104.12
404, 293, 1105.49
405, 294, 1106.85
406, 295, 1108.22
407, 296, 1109.58
408, 297, 1110.95
409, 298, 1112.31
411, 299, 1115.02
413, 300, 1117.73
414, 301, 1119.08
415, 302, 1120.44
416, 303, 1121.78
417, 304, 1123.13
418, 305, 1124.48
419, 306, 1125.82
420, 307, 1127.16
421, 308, 1128.51
422, 309, 1129.85
423, 310, 1131.18
424, 311, 1132.52
425, 312, 1133.85
427, 313, 1136.52
428, 314, 1137.85
429, 315, 1139.18
430, 316, 1140.5
431, 317, 1141.83
432, 318, 1143.15
435, 319, 1147.12
436, 320, 1148.43
437, 321, 1149.75
440, 322, 1153.69
441, 323, 1155
443, 324, 1157.62
446, 325, 1161.53
447, 326, 1162.83
450, 327, 1166.73
457, 328, 1175.77
458, 329, 1177.05
459, 330, 1178.34
461, 331, 1180.9
463, 332, 1183.46
466, 333, 1187.29
468, 334, 1189.83
469, 335, 1191.1
470, 336, 1192.37
471, 337, 1193.64
472, 338, 1194.91
474, 339, 1197.43
475, 340, 1198.7
476, 341, 1199.96
477, 342, 1201.22
478, 343, 1202.48
479, 344, 1203.73
480, 345, 1204.99
481, 346, 1206.24
482, 347, 1207.5
483, 348, 1208.75
484, 349, 1210
485, 350, 1211.25
488, 351, 1214.99
491, 352, 1218.72
494, 353, 1222.44
496, 354, 1224.91
498, 355, 1227.38
516, 356, 1249.36
522, 357, 1256.6
525, 358, 1260.21
526, 359, 1261.41
527, 360, 1262.61
529, 361, 1265
530, 362, 1266.2
531, 363, 1267.39
532, 364, 1268.58
549, 365, 1288.69
550, 366, 1289.86
553, 367, 1293.38
560, 368, 1301.54
570, 369, 1313.11
571, 370, 1314.26
572, 371, 1315.41
573, 372, 1316.56
574, 373, 1317.71
575, 374, 1318.85
576, 375, 1320
577, 376, 1321.15
578, 377, 1322.29
579, 378, 1323.43
580, 379, 1324.58
582, 380, 1326.86
583, 381, 1328
584, 382, 1329.14
585, 383, 1330.27
586, 384, 1331.41
590, 385, 1335.95
591, 386, 1337.08
592, 387, 1338.21
593, 388, 1339.34
599, 389, 1346.1
603, 390, 1350.58
604, 391, 1351.7
605, 392, 1352.82
610, 393, 1358.4
612, 394, 1360.62
613, 395, 1361.74
