"Stem", "Frequency", "Rank", "Probability"
321, 229, 985.406
322, 230, 986.94
324, 231, 990
325, 232, 991.527
327, 233, 994.573
330, 234, 999.125
332, 235, 1002.15
333, 236, 1003.66
334, 237, 1005.16
335, 238, 1006.67
336, 239, 1008.17
337, 240, 1009.67
338, 241, 1011.16
340, 242, 1014.15
341, 243, 1015.64
343, 244, 1018.61
347, 245, 1024.54
348, 246, 1026.01
349, 247, 1027.48
350, 248, 1028.96
351, 249, 1030.42
352, 250, 1031.89
353, 251, 1033.36
354, 252, 1034.82
355, 253, 1036.28
356, 254, 1037.74
357, 255, 1039.19
360, 256, 1043.55
362, 257, 1046.45
363, 258, 1047.89
364, 259, 1049.33
365, 260, 1050.77
366, 261, 1052.21
367, 262, 1053.65
368, 263, 1055.08
370, 264, 1057.95
371, 265, 1059.37
372, 266, 1060.8
377, 267, 1067.91
379, 268, 1070.74
380, 269, 1072.15
381, 270, 1073.56
383, 271, 1076.37
384, 272, 1077.78
385, 273, 1079.18
386, 274, 1080.58
387, 275, 1081.98
388, 276, 1083.37
390, 277, 1086.16
391, 278, 1087.55
393, 279, 1090.33
394, 280, 1091.72
395, 281, 1093.1
396, 282, 1094.49
397, 283, 1095.87
398, 284, 1097.25
400, 285, 1100
401, 286, 1101.37
402, 287, 1102.75
403, 288, 1104.12
406, 289, 1108.22
407, 290, 1109.58
408, 291, 1110.95
409, 292, 1112.31
410, 293, 1113.67
411, 294, 1115.02
413, 295, 1117.73
415, 296, 1120.44
417, 297, 1123.13
418, 298, 1124.48
419, 299, 1125.82
421, 300, 1128.51
422, 301, 1129.85
423, 302, 1131.18
424, 303, 1132.52
427, 304, 1136.52
428, 305, 1137.85
429, 306, 1139.18
430, 307, 1140.5
431, 308, 1141.83
432, 309, 1143.15
433, 310, 1144.48
434, 311, 1145.8
435, 312, 1147.12
436, 313, 1148.43
438, 314, 1151.06
439, 315, 1152.38
440, 316, 1153.69
441, 317, 1155
445, 318, 1160.23
448, 319, 1164.13
451, 320, 1168.02
452, 321, 1169.32
454, 322, 1171.9
457, 323, 1175.77
458, 324, 1177.05
459, 325, 1178.34
460, 326, 1179.62
462, 327, 1182.18
464, 328, 1184.74
465, 329, 1186.01
466, 330, 1187.29
467, 331, 1188.56
470, 332, 1192.37
473, 333, 1196.17
476, 334, 1199.96
478, 335, 1202.48
479, 336, 1203.73
480, 337, 1204.99
482, 338, 1207.5
483, 339, 1208.75
484, 340, 1210
485, 341, 1211.25
486, 342, 1212.5
487, 343, 1213.74
488, 344, 1214.99
489, 345, 1216.23
490, 346, 1217.48
492, 347, 1219.96
493, 348, 1221.2
494, 349, 1222.44
495, 350, 1223.67
496, 351, 1224.91
499, 352, 1228.61
502, 353, 1232.29
505, 354, 1235.97
506, 355, 1237.19
507, 356, 1238.42
508, 357, 1239.64
510, 358, 1242.07
511, 359, 1243.29
512, 360, 1244.51
513, 361, 1245.72
514, 362, 1246.94
515, 363, 1248.15
