"Stem", "Frequency", "Rank", "Probability"
386, 222, 1080.58
388, 223, 1083.37
389, 224, 1084.77
390, 225, 1086.16
391, 226, 1087.55
392, 227, 1088.94
393, 228, 1090.33
394, 229, 1091.72
395, 230, 1093.1
397, 231, 1095.87
398, 232, 1097.25
399, 233, 1098.62
402, 234, 1102.75
403, 235, 1104.12
404, 236, 1105.49
405, 237, 1106.85
406, 238, 1108.22
407, 239, 1109.58
408, 240, 1110.95
409, 241, 1112.31
410, 242, 1113.67
411, 243, 1115.02
412, 244, 1116.38
413, 245, 1117.73
414, 246, 1119.08
415, 247, 1120.44
416, 248, 1121.78
420, 249, 1127.16
422, 250, 1129.85
423, 251, 1131.18
427, 252, 1136.52
428, 253, 1137.85
429, 254, 1139.18
431, 255, 1141.83
433, 256, 1144.48
434, 257, 1145.8
435, 258, 1147.12
439, 259, 1152.38
440, 260, 1153.69
442, 261, 1156.31
444, 262, 1158.92
445, 263, 1160.23
448, 264, 1164.13
449, 265, 1165.43
450, 266, 1166.73
451, 267, 1168.02
456, 268, 1174.48
460, 269, 1179.62
461, 270, 1180.9
462, 271, 1182.18
463, 272, 1183.46
465, 273, 1186.01
467, 274, 1188.56
470, 275, 1192.37
471, 276, 1193.64
472, 277, 1194.91
473, 278, 1196.17
474, 279, 1197.43
475, 280, 1198.7
476, 281, 1199.96
480, 282, 1204.99
481, 283, 1206.24
482, 284, 1207.5
484, 285, 1210
485, 286, 1211.25
486, 287, 1212.5
487, 288, 1213.74
488, 289, 1214.99
489, 290, 1216.23
490, 291, 1217.48
491, 292, 1218.72
495, 293, 1223.67
496, 294, 1224.91
497, 295, 1226.14
498, 296, 1227.38
499, 297, 1228.61
501, 298, 1231.07
502, 299, 1232.29
503, 300, 1233.52
504, 301, 1234.75
505, 302, 1235.97
508, 303, 1239.64
509, 304, 1240.86
510, 305, 1242.07
511, 306, 1243.29
512, 307, 1244.51
513, 308, 1245.72
520, 309, 1254.19
521, 310, 1255.4
522, 311, 1256.6
523, 312, 1257.81
524, 313, 1259.01
525, 314, 1260.21
526, 315, 1261.41
527, 316, 1262.61
528, 317, 1263.8
529, 318, 1265
530, 319, 1266.2
532, 320, 1268.58
533, 321, 1269.77
534, 322, 1270.96
535, 323, 1272.15
536, 324, 1273.34
538, 325, 1275.72
539, 326, 1276.9
540, 327, 1278.08
541, 328, 1279.27
542, 329, 1280.45
544, 330, 1282.81
545, 331, 1283.99
546, 332, 1285.17
547, 333, 1286.34
548, 334, 1287.52
549, 335, 1288.69
559, 336, 1300.37
560, 337, 1301.54
561, 338, 1302.7
562, 339, 1303.86
564, 340, 1306.18
567, 341, 1309.65
568, 342, 1310.8
569, 343, 1311.95
570, 344, 1313.11
571, 345, 1314.26
572, 346, 1315.41
573, 347, 1316.56
574, 348, 1317.71
582, 349, 1326.86
583, 350, 1328
584, 351, 1329.14
585, 352, 1330.27
586, 353, 1331.41
587, 354, 1332.54
588, 355, 1333.68
589, 356, 1334.81
590, 357, 1335.95
591, 358, 1337.08
592, 359, 1338.21
594, 360, 1340.47
595, 361, 1341.59
596, 362, 1342.72
598, 363, 1344.97
599, 364, 1346.1
600, 365, 1347.22
601, 366, 1348.34
602, 367, 1349.46
603, 368, 1350.58
604, 369, 1351.7
605, 370, 1352.82
607, 371, 1355.06
608, 372, 1356.17
609, 373, 1357.29
610, 374, 1358.4
611, 375, 1359.51
612, 376, 1360.62
613, 377, 1361.74
615, 378, 1363.96
616, 379, 1365.06
617, 380, 1366.17
618, 381, 1367.28
619, 382, 1368.38
622, 383, 1371.7
623, 384, 1372.8
624, 385, 1373.9
625, 386, 1375
626, 387, 1376.1
629, 388, 1379.39
630, 389, 1380.49
631, 390, 1381.58
633, 391, 1383.77
634, 392, 1384.86
635, 393, 1385.96
636, 394, 1387.05
637, 395, 1388.14
638, 396, 1389.23
639, 397, 1390.31
640, 398, 1391.4
641, 399, 1392.49
643, 400, 1394.66
645, 401, 1396.83
648, 402, 1400.07
650, 403, 1402.23
651, 404, 1403.31
652, 405, 1404.39
653, 406, 1405.46
655, 407, 1407.61
656, 408, 1408.69
657, 409, 1409.76
658, 410, 1410.83
659, 411, 1411.9
660, 412, 1412.98
662, 413, 1415.11
663, 414, 1416.18
664, 415, 1417.25
665, 416, 1418.32
666, 417, 1419.38
667, 418, 1420.45
668, 419, 1421.51
672, 420, 1425.76
673, 421, 1426.82
674, 422, 1427.88
675, 423, 1428.94
677, 424, 1431.06
678, 425, 1432.11
681, 426, 1435.28
682, 427, 1436.33
683, 428, 1437.38
684, 429, 1438.44
686, 430, 1440.54
687, 431, 1441.59
688, 432, 1442.64
689, 433, 1443.68
691, 434, 1445.78
692, 435, 1446.82
694, 436, 1448.91
696, 437, 1451
697, 438, 1452.04
698, 439, 1453.08
699, 440, 1454.12
700, 441, 1455.16
701, 442, 1456.2
702, 443, 1457.24
703, 444, 1458.28
704, 445, 1459.31
706, 446, 1461.39
708, 447, 1463.45
710, 448, 1465.52
711, 449, 1466.55
712, 450, 1467.58
713, 451, 1468.61
715, 452, 1470.67
726, 453, 1481.94
727, 454, 1482.96
728, 455, 1483.98
729, 456, 1485
730, 457, 1486.02
731, 458, 1487.04
732, 459, 1488.05
734, 460, 1490.08
736, 461, 1492.11
737, 462, 1493.13
741, 463, 1497.17
742, 464, 1498.18
743, 465, 1499.19
745, 466, 1501.21
746, 467, 1502.22
747, 468, 1503.22
749, 469, 1505.23
750, 470, 1506.24
751, 471, 1507.24
753, 472, 1509.25
754, 473, 1510.25
756, 474, 1512.25
758, 475, 1514.25
759, 476, 1515.25
760, 477, 1516.25
761, 478, 1517.24
762, 479, 1518.24
763, 480, 1519.24
764, 481, 1520.23
766, 482, 1522.22
769, 483, 1525.2
772, 484, 1528.17
773, 485, 1529.16
774, 486, 1530.15
775, 487, 1531.14
776, 488, 1532.12
777, 489, 1533.11
779, 490, 1535.08
789, 491, 1544.9
790, 492, 1545.88
796, 493, 1551.74
805, 494, 1560.49
817, 495, 1572.08
819, 496, 1574
823, 497, 1577.84
824, 498, 1578.8
826, 499, 1580.71
827, 500, 1581.67
828, 501, 1582.62
829, 502, 1583.58
831, 503, 1585.49
834, 504, 1588.35
836, 505, 1590.25
838, 506, 1592.15
839, 507, 1593.1
840, 508, 1594.05
841, 509, 1595
843, 510, 1596.9
844, 511, 1597.84
845, 512, 1598.79
847, 513, 1600.68
848, 514, 1601.62
849, 515, 1602.57
850, 516, 1603.51
860, 517, 1612.92
869, 518, 1621.33
870, 519, 1622.27
871, 520, 1623.2
872, 521, 1624.13
873, 522, 1625.06
874, 523, 1625.99
876, 524, 1627.85
877, 525, 1628.78
879, 526, 1630.64
880, 527, 1631.56
881, 528, 1632.49
882, 529, 1633.42
883, 530, 1634.34
884, 531, 1635.27
885, 532, 1636.19
886, 533, 1637.12
890, 534, 1640.81
891, 535, 1641.73
892, 536, 1642.65
894, 537, 1644.49
895, 538, 1645.41
897, 539, 1647.25
899, 540, 1649.08
900, 541, 1650
901, 542, 1650.92
903, 543, 1652.75
904, 544, 1653.66
905, 545, 1654.58
906, 546, 1655.49
907, 547, 1656.4
908, 548, 1657.32
909, 549, 1658.23
910, 550, 1659.14
911, 551, 1660.05
912, 552, 1660.96
913, 553, 1661.87
914, 554, 1662.78
916, 555, 1664.6
917, 556, 1665.51
918, 557, 1666.42
919, 558, 1667.33
921, 559, 1669.14
922, 560, 1670.04
923, 561, 1670.95
926, 562, 1673.66
927, 563, 1674.57
928, 564, 1675.47
929, 565, 1676.37
930, 566, 1677.27
932, 567, 1679.08
933, 568, 1679.98
935, 569, 1681.78
936, 570, 1682.68
937, 571, 1683.58
938, 572, 1684.47
939, 573, 1685.37
940, 574, 1686.27
941, 575, 1687.16
942, 576, 1688.06
943, 577, 1688.96
944, 578, 1689.85
945, 579, 1690.75
946, 580, 1691.64
947, 581, 1692.54
948, 582, 1693.43
949, 583, 1694.32
950, 584, 1695.21
951, 585, 1696.11
952, 586, 1697
953, 587, 1697.89
956, 588, 1700.56
957, 589, 1701.45
958, 590, 1702.34
959, 591, 1703.22
961, 592, 1705
962, 593, 1705.89
963, 594, 1706.77
964, 595, 1707.66
966, 596, 1709.43
967, 597, 1710.31
968, 598, 1711.2
970, 599, 1712.97
973, 600, 1715.61
974, 601, 1716.49
975, 602, 1717.37
976, 603, 1718.25
977, 604, 1719.13
978, 605, 1720.01
979, 606, 1720.89
982, 607, 1723.53
983, 608, 1724.41
984, 609, 1725.28
985, 610, 1726.16
986, 611, 1727.04
987, 612, 1727.91
989, 613, 1729.66
990, 614, 1730.53
992, 615, 1732.28
993, 616, 1733.15
994, 617, 1734.03
996, 618, 1735.77
998, 619, 1737.51
1000, 620, 1739.25
1001, 621, 1740.12
1004, 622, 1742.73
1005, 623, 1743.6
1006, 624, 1744.46
1007, 625, 1745.33
1008, 626, 1746.2
1009, 627, 1747.06
1010, 628, 1747.93
1012, 629, 1749.66
1013, 630, 1750.52
1014, 631, 1751.39
1015, 632, 1752.25
1016, 633, 1753.11
1018, 634, 1754.84
1019, 635, 1755.7
1020, 636, 1756.56
1021, 637, 1757.42
1022, 638, 1758.28
1023, 639, 1759.14
1024, 640, 1760
1026, 641, 1761.72
1027, 642, 1762.58
1028, 643, 1763.43
1029, 644, 1764.29
1030, 645, 1765.15
1031, 646, 1766.01
1032, 647, 1766.86
1033, 648, 1767.72
1034, 649, 1768.57
1035, 650, 1769.43
1036, 651, 1770.28
1037, 652, 1771.14
1039, 653, 1772.84
1040, 654, 1773.7
1041, 655, 1774.55
1043, 656, 1776.25
1045, 657, 1777.96
1046, 658, 1778.81
1047, 659, 1779.66
1048, 660, 1780.51
1049, 661, 1781.35
1051, 662, 1783.05
1052, 663, 1783.9
1053, 664, 1784.75
1055, 665, 1786.44
1056, 666, 1787.29
