URL,Outlinks,Language,Filename
https://kiosque.lefigaro.fr/catalog/madame-figaro/madame-figaro/2025-02-28,117,fr,repository/lefigaro_fr/page_7.html
https://tvmag.lefigaro.fr/programme-tv/actu-tele/mon-premier-testament-j-avais-treize-ans-dany-boon-se-confie-sur-son-hypocondrie-sur-france-5-20250304,192,fr,repository/lefigaro_fr/page_8.html
https://www.lefigaro.fr/flash-actu/mali-des-centaines-de-milliers-d-eleves-affectes-par-la-suspension-de-repas-scolaires-20250304,313,fr,repository/lefigaro_fr/page_9.html
https://www.lefigaro.fr/bordeaux/eaux-usees-du-bassin-d-arcachon-la-prefecture-signe-les-arretes-polemiques-autorisant-a-deverser-des-eaux-usees-dans-la-lagune-20250304,313,fr,repository/lefigaro_fr/page_10.html
https://avis-vin.lefigaro.fr/tops-selections-vins-spiritueux,352,fr,repository/lefigaro_fr/page_11.html
https://madame.lefigaro.fr/cuisine,587,fr,repository/lefigaro_fr/page_12.html
https://www.lefigaro.fr/conjoncture/escalade-dans-la-guerre-commerciale-la-chine-et-le-canada-ripostent-a-donald-trump-20250304,317,fr,repository/lefigaro_fr/page_13.html
http://kiosque.lefigaro.fr/figaro-madame,117,fr,repository/lefigaro_fr/page_14.html
https://madame.lefigaro.fr/style/news/victoria-de-marichalar-y-de-borbon-la-niece-du-roi-felipe-apparait-en-total-look-jean-au-premier-rang-du-defile-dior-20250304,342,fr,repository/lefigaro_fr/page_15.html
https://www.lefigaro.fr/sports/football/ligue-des-champions/il-ne-cherche-pas-la-polemique-comment-madrid-est-tombe-sous-le-charme-de-kylian-mbappe-20250303,320,fr,repository/lefigaro_fr/page_16.html
https://www.lefigaro.fr/marseille,414,fr,repository/lefigaro_fr/page_17.html
https://www.lefigaro.fr/bordeaux,434,fr,repository/lefigaro_fr/page_18.html
https://www.lefigaro.fr/conjoncture/inflation-frein-a-la-croissance-les-economistes-s-echarpent-sur-les-effets-des-guerres-commerciales-20250304,314,fr,repository/lefigaro_fr/page_19.html
https://www.lefigaro.fr/voyages/dossier/japon,401,fr,repository/lefigaro_fr/page_20.html
https://www.lefigaro.fr/sortir-paris,424,fr,repository/lefigaro_fr/page_21.html
https://sante.lefigaro.fr/medicaments/,444,fr,repository/lefigaro_fr/page_22.html
https://www.lefigaro.fr/voyages/le-cheval-metallique-des-jo-de-paris-en-balade-a-travers-la-france-ou-l-admirer-20250304,367,fr,repository/lefigaro_fr/page_23.html
http://leparticulier.lefigaro.fr/article/carte-familles-nombreuses-jusqu-a-75-de-reduction-sur-les-billets-de-train/,228,fr,repository/lefigaro_fr/page_24.html
https://www.lefigaro.fr/faits-divers/les-liens-troubles-de-mohamed-amra-avec-jean-charles-p-et-la-black-mafia-family-20250226,275,fr,repository/lefigaro_fr/page_25.html
